	prediction	d.CS1	d.CS2	p.value	FDR
TCGA-HT-A615-01A	CS1	0.5129	0.8584	0.001	0.0014
TCGA-DU-8166-01A	CS1	0.4221	0.9066	0.001	0.0014
TCGA-DU-A76O-01A	CS1	0.6356	0.772	0.0579	0.0704
TCGA-DH-A66F-01A	CS1	0.5453	0.8383	0.001	0.0014
TCGA-DH-A66G-01A	CS2	0.7418	0.6706	0.1259	0.1453
TCGA-HT-7606-01A	CS1	0.6493	0.7606	0.0969	0.1133
TCGA-HT-7475-01A	CS1	0.2752	0.9614	0.001	0.0014
TCGA-DH-A7UT-01A	CS2	0.8059	0.592	0.002	0.0027
TCGA-DU-5872-02A	CS2	0.9613	0.2755	0.001	0.0014
TCGA-DU-5872-01A	CS2	0.8561	0.5168	0.001	0.0014
TCGA-HT-A61B-01A	CS2	0.9426	0.3338	0.001	0.0014
TCGA-HT-7693-01A	CS2	0.8715	0.4904	0.001	0.0014
TCGA-HT-A61C-01A	CS2	0.9366	0.3505	0.001	0.0014
TCGA-CS-6186-01A	CS2	0.815	0.5795	0.003	0.0041
TCGA-FG-A60K-01A	CS1	0.4552	0.8904	0.001	0.0014
TCGA-DB-A75M-01A	CS2	0.7655	0.6434	0.0509	0.0622
TCGA-FG-7636-01A	CS1	0.4156	0.9095	0.001	0.0014
TCGA-DU-A7T6-01A	CS1	0.5963	0.8028	0.002	0.0027
TCGA-DU-5847-01A	CS2	0.9595	0.2818	0.001	0.0014
TCGA-FG-A4MW-01A	CS2	0.9086	0.4177	0.001	0.0014
TCGA-FG-6692-01A	CS2	0.9627	0.2704	0.001	0.0014
TCGA-DB-A64X-01A	CS1	0.6425	0.7663	0.0519	0.0633
TCGA-S9-A7QX-01A	CS1	0.7062	0.708	0.978	0.9818
TCGA-S9-A6WO-01A	CS1	0.6372	0.7707	0.035	0.0435
TCGA-DH-A7UV-01A	CS1	0.7064	0.7078	0.986	0.986
TCGA-TM-A84R-01A	CS1	0.3413	0.9399	0.001	0.0014
TCGA-FG-A87N-01A	CS2	0.8108	0.5853	0.001	0.0014
TCGA-S9-A6WP-01A	CS1	0.5535	0.8328	0.001	0.0014
TCGA-FG-A4MX-01A	CS2	0.8099	0.5866	0.002	0.0027
TCGA-S9-A89V-01A	CS2	0.7374	0.6754	0.3706	0.4054
TCGA-S9-A6TV-01A	CS2	0.961	0.2764	0.001	0.0014
TCGA-FG-6688-01A	CS2	0.9537	0.3007	0.001	0.0014
TCGA-DB-A4XA-01A	CS1	0.4541	0.891	0.001	0.0014
TCGA-DU-5871-01A	CS1	0.6409	0.7676	0.0789	0.0936
TCGA-DU-7298-01A	CS1	0.5934	0.8049	0.004	0.0054
TCGA-IK-7675-01A	CS2	0.761	0.6487	0.1049	0.1221
TCGA-DU-8165-01A	CS2	0.9596	0.2813	0.001	0.0014
TCGA-P5-A77W-01A	CS1	0.4604	0.8877	0.001	0.0014
TCGA-HT-7855-01A	CS1	0.7004	0.7138	0.8122	0.8378
TCGA-QH-A6CS-01A	CS2	0.8612	0.5082	0.001	0.0014
TCGA-E1-A7YJ-01A	CS2	0.9659	0.259	0.001	0.0014
TCGA-RY-A845-01A	CS1	0.3389	0.9408	0.001	0.0014
TCGA-TQ-A7RG-01A	CS1	0.4638	0.8859	0.001	0.0014
TCGA-S9-A6WM-01A	CS2	0.9369	0.3496	0.001	0.0014
TCGA-DU-6405-01A	CS2	0.9467	0.3221	0.001	0.0014
TCGA-DH-5140-01A	CS2	0.756	0.6546	0.1289	0.1481
TCGA-S9-A7IZ-01A	CS1	0.655	0.7556	0.1479	0.1692
TCGA-S9-A7J0-01A	CS2	0.7577	0.6526	0.1009	0.1178
TCGA-VM-A8CF-01A	CS2	0.8974	0.4413	0.001	0.0014
TCGA-FG-8187-01A	CS1	0.5865	0.81	0.001	0.0014
TCGA-FG-7643-01A	CS1	0.5272	0.8498	0.001	0.0014
TCGA-HT-A5R7-01A	CS1	0.4051	0.9143	0.001	0.0014
TCGA-FG-A713-01A	CS1	0.3391	0.9407	0.001	0.0014
TCGA-S9-A89Z-01A	CS2	0.9423	0.3349	0.001	0.0014
TCGA-FG-7641-01B	CS1	0.2157	0.9765	0.001	0.0014
TCGA-DU-8163-01A	CS1	0.6859	0.7277	0.5534	0.5894
TCGA-S9-A7J3-01A	CS1	0.3539	0.9353	0.001	0.0014
TCGA-HW-A5KM-01A	CS2	0.8951	0.446	0.001	0.0014
TCGA-WY-A85E-01A	CS1	0.4666	0.8845	0.001	0.0014
TCGA-DU-A6S7-01A	CS1	0.692	0.7219	0.6104	0.6461
TCGA-CS-5395-01A	CS2	0.7579	0.6524	0.1568	0.1791
TCGA-E1-A7YM-01A	CS2	0.8198	0.5727	0.001	0.0014
TCGA-DU-A76R-01A	CS1	0.5831	0.8124	0.001	0.0014
TCGA-TQ-A7RF-01A	CS2	0.8137	0.5812	0.001	0.0014
TCGA-HT-A619-01A	CS1	0.4813	0.8766	0.001	0.0014
TCGA-DU-8164-01A	CS1	0.2195	0.9756	0.001	0.0014
TCGA-FG-A60L-01A	CS2	0.8551	0.5185	0.001	0.0014
TCGA-DU-A6S3-01A	CS1	0.2158	0.9764	0.001	0.0014
TCGA-HT-7608-01A	CS1	0.7033	0.7109	0.9051	0.9245
TCGA-FG-A6J3-01A	CS2	0.9599	0.2802	0.001	0.0014
TCGA-DU-A6S8-01A	CS1	0.4086	0.9127	0.001	0.0014
TCGA-DU-6394-01A	CS2	0.7293	0.6842	0.5315	0.5672
TCGA-FG-8189-01B	CS1	0.3227	0.9465	0.001	0.0014
TCGA-FG-7638-01B	CS1	0.3159	0.9488	0.001	0.0014
TCGA-HT-7603-01A	CS1	0.3062	0.952	0.001	0.0014
TCGA-VW-A7QS-01A	CS1	0.7054	0.7088	0.958	0.9654
TCGA-DH-A7US-01A	CS1	0.4727	0.8812	0.001	0.0014
TCGA-DU-7304-02A	CS2	0.7091	0.7051	0.9311	0.9492
TCGA-DU-7304-01A	CS1	0.5778	0.8162	0.001	0.0014
TCGA-VM-A8CH-01A	CS2	0.8435	0.5372	0.001	0.0014
TCGA-S9-A7IY-01A	CS1	0.6623	0.7492	0.2098	0.2369
TCGA-HT-7873-01B	CS1	0.7066	0.7076	0.985	0.986
TCGA-FG-A4MY-01A	CS2	0.8549	0.5188	0.001	0.0014
TCGA-DU-8161-01A	CS2	0.9154	0.4026	0.001	0.0014
TCGA-TM-A84T-01A	CS1	0.5925	0.8055	0.003	0.0041
TCGA-E1-A7YN-01A	CS2	0.9569	0.2903	0.001	0.0014
TCGA-TM-A84J-01A	CS2	0.7674	0.6412	0.0609	0.0736
TCGA-DB-A64L-01A	CS1	0.3616	0.9323	0.001	0.0014
TCGA-HT-7477-01B	CS2	0.8666	0.499	0.001	0.0014
TCGA-S9-A6U0-01A	CS2	0.9817	0.1906	0.001	0.0014
TCGA-DU-A5TT-01A	CS2	0.9178	0.3971	0.001	0.0014
TCGA-DH-5144-01A	CS1	0.4163	0.9092	0.001	0.0014
TCGA-TM-A84M-01A	CS1	0.4254	0.905	0.001	0.0014
TCGA-TM-A84B-01A	CS2	0.7973	0.6036	0.003	0.0041
TCGA-HW-8322-01A	CS1	0.4284	0.9036	0.001	0.0014
TCGA-DU-A5TW-01A	CS2	0.7474	0.6644	0.1279	0.1473
TCGA-TM-A84Q-01A	CS2	0.8651	0.5015	0.001	0.0014
TCGA-FG-5963-01A	CS2	0.9038	0.428	0.001	0.0014
TCGA-FG-5963-02A	CS2	0.9	0.4359	0.001	0.0014
TCGA-DB-A64O-01A	CS2	0.8367	0.5477	0.001	0.0014
TCGA-DU-A6S2-01A	CS1	0.3392	0.9407	0.001	0.0014
TCGA-S9-A6U1-01A	CS1	0.6295	0.777	0.018	0.023
TCGA-TQ-A7RR-01A	CS1	0.6192	0.7852	0.025	0.0317
TCGA-DU-7301-01A	CS2	0.883	0.4694	0.001	0.0014
TCGA-HT-A4DV-01A	CS1	0.3567	0.9342	0.001	0.0014
TCGA-TQ-A7RQ-01A	CS1	0.2324	0.9726	0.001	0.0014
TCGA-DU-A5TU-01A	CS2	0.9208	0.39	0.001	0.0014
TCGA-DU-7019-01A	CS2	0.7675	0.641	0.0589	0.0713
TCGA-S9-A6WN-01A	CS2	0.9279	0.3729	0.001	0.0014
TCGA-DU-A76L-01A	CS2	0.9508	0.3097	0.001	0.0014
TCGA-CS-6188-01A	CS2	0.9713	0.2379	0.001	0.0014
TCGA-S9-A7IX-01A	CS2	0.8462	0.5329	0.001	0.0014
TCGA-TQ-A7RW-01A	CS2	0.8338	0.5521	0.001	0.0014
TCGA-S9-A7QZ-01A	CS1	0.2615	0.9652	0.001	0.0014
TCGA-HT-A5RA-01A	CS2	0.9637	0.267	0.001	0.0014
TCGA-DB-A64S-01A	CS2	0.8868	0.4622	0.001	0.0014
TCGA-FN-7833-01A	CS2	0.8807	0.4736	0.001	0.0014
TCGA-DB-A64U-01A	CS1	0.4152	0.9097	0.001	0.0014
TCGA-DH-A66D-01A	CS2	0.7194	0.6946	0.7133	0.7431
TCGA-TM-A84I-01A	CS2	0.852	0.5236	0.001	0.0014
TCGA-RY-A840-01A	CS1	0.451	0.8925	0.001	0.0014
TCGA-HT-8563-01A	CS2	0.9593	0.2822	0.001	0.0014
TCGA-FG-8181-01A	CS1	0.4268	0.9043	0.001	0.0014
TCGA-S9-A7QY-01A	CS1	0.3382	0.9411	0.001	0.0014
TCGA-FG-A70Y-01A	CS1	0.6988	0.7154	0.8072	0.8343
TCGA-HW-A5KL-01A	CS1	0.586	0.8103	0.001	0.0014
TCGA-E1-A7YE-01A	CS2	0.9254	0.379	0.001	0.0014
TCGA-DB-A64V-01A	CS2	0.8124	0.5831	0.001	0.0014
TCGA-HT-8113-01A	CS1	0.3094	0.9509	0.001	0.0014
TCGA-HT-7602-01A	CS2	0.7379	0.6749	0.3027	0.3339
TCGA-DU-A5TR-01A	CS2	0.9432	0.3321	0.001	0.0014
TCGA-S9-A6U2-01A	CS1	0.5147	0.8574	0.001	0.0014
